iter	Passed	Remaining
0	61	12282
1	72	7128
2	82	5423
3	92	4552
4	103	4030
5	114	3686
6	124	3437
7	135	3254
8	146	3105
9	156	2978
10	167	2876
11	178	2791
12	188	2714
13	199	2645
14	209	2587
15	220	2534
16	230	2484
17	241	2443
18	252	2402
19	263	2367
20	273	2331
21	284	2297
22	294	2268
23	305	2238
24	315	2211
25	326	2183
26	337	2161
27	348	2138
28	358	2115
29	369	2091
30	379	2071
31	390	2049
32	400	2028
33	411	2007
34	421	1988
35	432	1969
36	442	1951
37	453	1934
38	464	1916
39	474	1899
40	485	1882
41	495	1865
42	506	1850
43	517	1834
44	527	1817
45	538	1803
46	549	1787
47	559	1773
48	570	1757
49	580	1742
50	591	1728
51	602	1713
52	613	1700
53	623	1686
54	633	1671
55	644	1657
56	655	1644
57	666	1631
58	676	1617
59	687	1603
60	697	1590
61	708	1577
62	719	1564
63	729	1550
64	740	1537
65	750	1524
66	761	1511
67	772	1498
68	782	1486
69	793	1473
70	803	1460
71	814	1447
72	824	1434
73	835	1422
74	846	1410
75	856	1397
76	867	1385
77	877	1372
78	888	1360
79	898	1348
80	909	1336
81	919	1323
82	930	1311
83	941	1299
84	951	1287
85	962	1275
86	973	1263
87	983	1251
88	994	1239
89	1004	1228
90	1015	1216
91	1026	1204
92	1036	1192
93	1047	1180
94	1057	1169
95	1068	1157
96	1079	1145
97	1089	1134
98	1100	1122
99	1110	1110
100	1121	1099
101	1132	1087
102	1142	1076
103	1153	1064
104	1163	1053
105	1174	1041
106	1185	1030
107	1195	1018
108	1206	1007
109	1216	995
110	1227	984
111	1238	972
112	1248	961
113	1259	950
114	1269	938
115	1280	927
116	1290	915
117	1301	904
118	1312	893
119	1323	882
120	1333	870
121	1344	859
122	1354	848
123	1365	836
124	1376	825
125	1386	814
126	1397	803
127	1408	792
128	1418	780
129	1429	769
130	1440	758
131	1450	747
132	1461	736
133	1472	725
134	1483	714
135	1493	702
136	1504	691
137	1514	680
138	1525	669
139	1535	658
140	1546	647
141	1557	635
142	1567	624
143	1577	613
144	1588	602
145	1599	591
146	1609	580
147	1620	569
148	1630	558
149	1641	547
150	1652	536
151	1662	525
152	1673	513
153	1683	502
154	1694	491
155	1705	480
156	1715	469
157	1726	459
158	1737	448
159	1748	437
160	1759	426
161	1769	415
162	1780	404
163	1790	393
164	1801	382
165	1812	371
166	1822	360
167	1833	349
168	1843	338
169	1854	327
170	1865	316
171	1875	305
172	1886	294
173	1896	283
174	1907	272
175	1918	261
176	1928	250
177	1939	239
178	1949	228
179	1960	217
180	1971	206
181	1981	196
182	1992	185
183	2003	174
184	2013	163
185	2023	152
186	2034	141
187	2045	130
188	2055	119
189	2066	108
190	2077	97
191	2088	87
192	2098	76
193	2109	65
194	2120	54
195	2130	43
196	2141	32
197	2152	21
198	2162	10
199	2173	0
